Time	Dissipation Rate Incompressible	Dissipation Rate Compressible	Ekin incomp	Ekin comp	Enstrophy comp	DR_u	DR_S	DR_Sd	DR_p	Maximum Vorticity	Mean Temperature	uprime	Mean Entropy	ED_S	ED_D
0.15000000000000E+00001	 0.73786400993203E-00003	 -.57924328283273E-00003	 0.13264803259491E+00000	 0.12678554997264E+00000	 0.44976079757803E+00000	 0.67744129537633E-00003	 0.73786400993203E-00003	 0.69758220022359E-00003	 -.12768254830563E-00002	 0.16341560569831E+00001	 0.99631227149341E+00000	 0.29737522043698E+00000	 0.19992487598647E+00001	 0.62962617309948E-00003	 0.80882312485443E-00004
0.15365368026916E+00001	 0.75264407713652E-00003	 -.87388302165476E-00003	 0.13260366456134E+00000	 0.12681159082727E+00000	 0.45608053556586E+00000	 0.68777523535488E-00003	 0.75264407713652E-00003	 0.70939818258292E-00003	 -.15832812042377E-00002	 0.16053942502453E+00001	 0.99618315572067E+00000	 0.29732548333585E+00000	 0.19991821862566E+00001	 0.63558446372741E-00003	 0.86733034151397E-00004
0.15772135242755E+00001	 0.77145716168593E-00003	 -.11975559336452E-00002	 0.13255887439291E+00000	 0.12685324799544E+00000	 0.46302032186645E+00000	 0.70048488902982E-00003	 0.77145716168593E-00003	 0.72414231288457E-00003	 -.19216982465297E-00002	 0.15759737345860E+00001	 0.99605362979331E+00000	 0.29727526457580E+00000	 0.19991063127258E+00001	 0.64221012284129E-00003	 0.94734023170277E-00004
0.16179909196875E+00001	 0.79363250487462E-00003	 -.14906803631384E-00002	 0.13251915452073E+00000	 0.12690768097081E+00000	 0.46987472742912E+00000	 0.71490976524922E-00003	 0.79363250487462E-00003	 0.74115067565901E-00003	 -.22318310387974E-00002	 0.15758703520102E+00001	 0.99593879737386E+00000	 0.29723072353614E+00000	 0.19990281847826E+00001	 0.64883980683694E-00003	 0.10487099910102E-00003
0.16588706555379E+00001	 0.82070076577607E-00003	 -.17263781503724E-00002	 0.13248384977041E+00000	 0.12697314608942E+00000	 0.47665835197899E+00000	 0.73182022555586E-00003	 0.82070076577607E-00003	 0.76144709558671E-00003	 -.24878252459591E-00002	 0.16002887284852E+00001	 0.99583838279849E+00000	 0.29719112791873E+00000	 0.19989474318741E+00001	 0.65548390469100E-00003	 0.11815053489013E-00003
0.16998494767144E+00001	 0.85487802139274E-00003	 -.18807902890636E-00002	 0.13245134745166E+00000	 0.12704680990770E+00000	 0.48339542361704E+00000	 0.75233266696600E-00003	 0.85487802139274E-00003	 0.78651460103446E-00003	 -.26673048900981E-00002	 0.16235503335053E+00001	 0.99575189548995E+00000	 0.29715467067018E+00000	 0.19988634301015E+00001	 0.66216191347802E-00003	 0.13603288594022E-00003
0.17407919246795E+00001	 0.89799646870660E-00003	 -.19418700956335E-00002	 0.13241964733331E+00000	 0.12712488261122E+00000	 0.49010289777128E+00000	 0.77736759326502E-00003	 0.89799646870660E-00003	 0.81757702868340E-00003	 -.27594471243169E-00002	 0.16462594379278E+00001	 0.99567877616978E+00000	 0.29711910892582E+00000	 0.19987760043052E+00001	 0.66888732167708E-00003	 0.15975876464195E-00003
0.17816152733679E+00001	 0.96052972828665E-00003	 -.19071819986109E-00002	 0.13238614740245E+00000	 0.12720340266180E+00000	 0.49682217843872E+00000	 0.81218161073523E-00003	 0.96052972828665E-00003	 0.86163064099552E-00003	 -.27688126396064E-00002	 0.28853337936879E+00001	 0.99561853000393E+00000	 0.29708152349420E+00000	 0.19986840678579E+00001	 0.67570244104352E-00003	 0.19617720404302E-00003
0.18223568451886E+00001	 0.10403724639049E-00002	 -.17583391982706E-00002	 0.13234710435576E+00000	 0.12727748365983E+00000	 0.50358059455207E+00000	 0.85572512122527E-00003	 0.10403724639049E-00002	 0.91727558966518E-00003	 -.26756147879358E-00002	 0.40634551876971E+00001	 0.99557149550511E+00000	 0.29703771293195E+00000	 0.19985834821250E+00001	 0.68262494474095E-00003	 0.24399065029732E-00003
0.18630532280786E+00001	 0.11222375510297E-00002	 -.15693172969090E-00002	 0.13230257226290E+00000	 0.12734494630268E+00000	 0.51044721922742E+00000	 0.90038180976356E-00003	 0.11222375510297E-00002	 0.97433252799471E-00003	 -.25436498249037E-00002	 0.64996471145289E+00001	 0.99553544641720E+00000	 0.29698773517089E+00000	 0.19984771737062E+00001	 0.68971788027176E-00003	 0.29335304086242E-00003
0.19034553411289E+00001	 0.12565347075614E-00002	 -.12906045470271E-00002	 0.13225077101285E+00000	 0.12740321154495E+00000	 0.51750899280094E+00000	 0.97142010376622E-00003	 0.12565347075614E-00002	 0.10664544323700E-00002	 -.23570589793971E-00002	 0.83295766351025E+00001	 0.99551099415864E+00000	 0.29692958874998E+00000	 0.19983619388222E+00001	 0.69709369843157E-00003	 0.37836641367884E-00003
0.19434948065570E+00001	 0.13848883726320E-00002	 -.94896501586258E-00003	 0.13218814690243E+00000	 0.12744638607054E+00000	 0.52474140203044E+00000	 0.10396124418467E-00002	 0.13848883726320E-00002	 0.11547126189796E-00002	 -.21036776348422E-00002	 0.80886032949396E+00001	 0.99550022803218E+00000	 0.29685927856189E+00000	 0.19982299123601E+00001	 0.70470188327356E-00003	 0.45919308970543E-00003
0.19831686029474E+00001	 0.15353981421921E-00002	 -.63932456322861E-00003	 0.13212150992414E+00000	 0.12747860004079E+00000	 0.53214674203137E+00000	 0.11190540900150E-00002	 0.15353981421921E-00002	 0.12578585073503E-00002	 -.18971830705789E-00002	 0.12420392427262E+00002	 0.99549714566149E+00000	 0.29678444470034E+00000	 0.19980936532035E+00001	 0.71261442044676E-00003	 0.55455366605790E-00003
0.20000000000000E+00001	 0.16230485222194E-00002	 -.44925334855729E-00003	 0.13208974870681E+00000	 0.12748721665603E+00000	 0.53548095964757E+00000	 0.11648060678774E-00002	 0.16230485222194E-00002	 0.13175922261322E-00002	 -.17668455746895E-00002	 0.13729374592133E+00002	 0.99549994149382E+00000	 0.29674876995737E+00000	 0.19980292232531E+00001	 0.71622973004416E-00003	 0.61205806907683E-00003
0.20220935688922E+00001	 0.17023205004400E-00002	 -.27562136532193E-00003	 0.13204675239278E+00000	 0.12749461910129E+00000	 0.54003982576884E+00000	 0.12070970012794E-00002	 0.17023205004400E-00002	 0.13722395361795E-00002	 -.16478609015014E-00002	 0.15642216378856E+00002	 0.99550596267568E+00000	 0.29670046892760E+00000	 0.19979422136334E+00001	 0.72119614043114E-00003	 0.66751036381637E-00003
0.20612642381499E+00001	 0.17457315933842E-00002	 0.61663886708437E-00004	 0.13196580679079E+00000	 0.12749740369511E+00000	 0.54827911604815E+00000	 0.12336017723658E-00002	 0.17457315933842E-00002	 0.14044070072405E-00002	 -.13427431205321E-00002	 0.14793771879415E+00002	 0.99552367113911E+00000	 0.29660951523374E+00000	 0.19977774666693E+00001	 0.73018324918405E-00003	 0.69158961661519E-00003
0.21004080707202E+00001	 0.18105873949849E-00002	 0.27956410404843E-00003	 0.13188621587030E+00000	 0.12748995337512E+00000	 0.55586370664921E+00000	 0.12703632015830E-00002	 0.18105873949849E-00002	 0.14504798881943E-00002	 -.11709157841459E-00002	 0.17526729119660E+00002	 0.99554451764810E+00000	 0.29652005651142E+00000	 0.19976159748743E+00001	 0.73843008970586E-00003	 0.72779948909801E-00003
0.21396921971957E+00001	 0.18270131922501E-00002	 0.70181288929551E-00003	 0.13179697262701E+00000	 0.12746592241251E+00000	 0.56422097178968E+00000	 0.12833623681831E-00002	 0.18270131922501E-00002	 0.14646367293690E-00002	 -.76282384007347E-00003	 0.18860964258607E+00002	 0.99557910620325E+00000	 0.29641971664855E+00000	 0.19974217144730E+00001	 0.74754851271509E-00003	 0.73083801456332E-00003
0.21788995035466E+00001	 0.18803731133594E-00002	 0.84915702955423E-00003	 0.13171934927057E+00000	 0.12743549582425E+00000	 0.57339882370816E+00000	 0.13151968600369E-00002	 0.18803731133594E-00002	 0.15036229843894E-00002	 -.65446595483520E-00003	 0.18344735574818E+00002	 0.99560776253984E+00000	 0.29633241387623E+00000	 0.19972533493416E+00001	 0.75743138548988E-00003	 0.76151675811714E-00003
0.22179220792590E+00001	 0.20422721340374E-00002	 0.96779595019745E-00003	 0.13163814070713E+00000	 0.12740167274921E+00000	 0.58294595192980E+00000	 0.14015938521016E-00002	 0.20422721340374E-00002	 0.16151868348570E-00002	 -.64739088465959E-00003	 0.18953685020654E+00002	 0.99564632637930E+00000	 0.29624105129340E+00000	 0.19970551518798E+00001	 0.76783956736388E-00003	 0.86443107702694E-00003
0.22569529807270E+00001	 0.20203288851009E-00002	 0.14482662564604E-00002	 0.13154217276772E+00000	 0.12734199813598E+00000	 0.59235806362206E+00000	 0.13958069945245E-00002	 0.20203288851009E-00002	 0.16040136939211E-00002	 -.15574743746062E-00003	 0.21799175824844E+00002	 0.99569709143779E+00000	 0.29613304753969E+00000	 0.19968103381102E+00001	 0.77795631603980E-00003	 0.83350147502452E-00003
0.22957216718148E+00001	 0.20942766661000E-00002	 0.12432843567382E-00002	 0.13148020917192E+00000	 0.12729375564286E+00000	 0.60280521009686E+00000	 0.14385457146178E-00002	 0.20942766661000E-00002	 0.16571357597937E-00002	 -.41385140305548E-00003	 0.24162803140302E+00002	 0.99572565621278E+00000	 0.29606329185037E+00000	 0.19966325637135E+00001	 0.78919399986648E-00003	 0.88007619994383E-00003
0.23346305291554E+00001	 0.23770841989413E-00002	 0.16097754607295E-00002	 0.13139907651377E+00000	 0.12723651785184E+00000	 0.61366944303850E+00000	 0.15860217301388E-00002	 0.23770841989413E-00002	 0.18497375516264E-00002	 -.23996209089688E-00003	 0.23122107196692E+00002	 0.99577236406959E+00000	 0.29597193168021E+00000	 0.19963996830910E+00001	 0.80099080432860E-00003	 0.10590317807328E-00002
0.23734438635716E+00001	 0.22845410670295E-00002	 0.19049960035198E-00002	 0.13131365812775E+00000	 0.12715680662034E+00000	 0.62490984856641E+00000	 0.15458826303274E-00002	 0.22845410670295E-00002	 0.17922019765015E-00002	 0.11279402701839E-00003	 0.21002497725237E+00002	 0.99582243972163E+00000	 0.29587571504237E+00000	 0.19961439642137E+00001	 0.81306127859017E-00003	 0.98540645512210E-00003
